listing_id,low,medium,high,fold
4,0.504182507594,0.443443765243,0.0523737072945,4
6,0.303627009193,0.566121747096,0.130251256128,0
9,0.807814319928,0.17681029439,0.0153754232451,0
10,0.748606125514,0.245168372989,0.00622548861429,1
15,0.943037052949,0.0564522817731,0.000510675337864,4
16,0.829303065936,0.159337346752,0.0113595528528,4
18,0.609143098195,0.370708177487,0.0201487224549,4
19,0.186326975624,0.538362483184,0.275310536226,3
23,0.939862946669,0.0403007480005,0.0198362929126,4
32,0.880132397016,0.118511602283,0.00135601469083,0
33,0.981393833955,0.0183583262066,0.000247880685492,4
36,0.425922721624,0.461771577597,0.11230570823,3
38,0.54126221935,0.424166937669,0.0345708057284,3
39,0.876272638639,0.115644594034,0.00808276127403,0
42,0.887705544631,0.110559801261,0.00173462880775,3
43,0.997111896674,0.00232312948598,0.000564948490743,3
44,0.832408527533,0.163684993982,0.00390648453807,4
46,0.104724027216,0.374541302522,0.520734687646,3
49,0.976142724355,0.0235997612278,0.000257523701293,0
61,0.99649343888,0.00329092533017,0.00021564506945,4
66,0.577925344308,0.395344515642,0.0267301127315,4
67,0.966730455558,0.0317300216605,0.00153952394612,0
69,0.9830575188,0.0164789309104,0.000463513696256,1
74,0.990260243416,0.0091262467516,0.000613497482846,1
78,0.617293516795,0.363732725382,0.0189737503727,4
80,0.762737234433,0.156538675229,0.0807241226236,2
82,0.991044263045,0.00883595691994,0.000119781361718,0
83,0.883028725783,0.115411899984,0.00155934908738,2
84,0.941130598386,0.0571594921251,0.00170990739328,1
85,0.74884223938,0.23638146619,0.0147763083999,4
87,0.582867542903,0.396008461714,0.0211240199084,0
88,0.0490751291315,0.352234125137,0.598690768083,1
89,0.831563532352,0.157291303078,0.0111451571186,4
92,0.59281082948,0.344320009152,0.0628691539168,2
93,0.162530779839,0.414263486862,0.423205723365,1
101,0.96490295728,0.0240190929423,0.0110779736812,1
102,0.875884652138,0.114902384579,0.00921297601114,2
104,0.507831285397,0.441377550364,0.0507911927998,2
106,0.915885965029,0.0809722567598,0.003141746313,4
107,0.906791587671,0.0909006620447,0.00230776390526,3
111,0.546678264936,0.373457113902,0.0798645963271,2
113,0.905249993006,0.0944561411937,0.00029386394696,3
115,0.149117320776,0.42148082455,0.42940184474,0
117,0.994695981344,0.00514749383243,0.000156508050471,2
118,0.80956196785,0.179074977835,0.0113630387932,4
121,0.987577676773,0.0121548607325,0.000267494974347,0
122,0.98618320624,0.0133133099104,0.000503483674644,4
133,0.919834037622,0.0751472252111,0.00501876929775,3
136,0.406214654446,0.546953399976,0.0468319430947,3
139,0.865907510122,0.121016234159,0.0130762793124,1
140,0.962949593862,0.0347569740067,0.00229340236789,2
145,0.991790910562,0.00769216303403,0.000516968517331,0
146,0.974842210611,0.0248822731276,0.000275486701867,0
151,0.876199901104,0.120508467158,0.0032916238221,2
152,0.832620183627,0.162563393513,0.00481639918871,0
158,0.92954903841,0.0662127571801,0.00423818384297,4
161,0.426557014386,0.521168599526,0.0522744009892,2
170,0.897825698058,0.0976829777161,0.00449130870402,2
171,0.994762321313,0.00516419112682,7.3481148623e-05,0
181,0.951637327671,0.0472306547066,0.00113202918631,3
182,0.324297070503,0.495389739672,0.180313189824,3
186,0.157272954782,0.770822644234,0.071904424578,4
192,0.9724817276,0.0272717351715,0.000246528240192,0
194,0.803515632947,0.186480566859,0.0100038188199,0
200,0.859091420968,0.13791188101,0.00299667667908,2
204,0.914521892865,0.0848122214278,0.000665889364124,0
205,0.512113839388,0.41971736153,0.0681688115001,1
206,0.507870952288,0.370606621106,0.121522421638,1
208,0.54447867473,0.318076978127,0.13744434466,0
214,0.876635710398,0.119515836239,0.00384845895072,1
217,0.999340116978,0.000638633840329,2.12548281221e-05,1
226,0.998519738515,0.00145844028642,2.18159815025e-05,4
