listing_id,high,medium,low
6875380,0.000235862971749,0.00929788500071,0.990466237068
6953132,0.107375197113,0.334737539291,0.557887256145
7199491,0.000738513597753,0.0174656938761,0.981795847416
7107528,0.225248351693,0.310753554106,0.463998049498
6972821,0.000933561124839,0.0273563805968,0.971710085869
6977162,5.30850993528e-05,0.001794077456,0.998152792454
6945789,0.0126256747171,0.161201670766,0.826172590256
6953893,5.979440175e-05,0.00365130184218,0.996288895607
6989748,0.040827639401,0.292916804552,0.6662555933
6874565,0.0298158507794,0.684522807598,0.285661309958
7002360,0.0267359632999,0.408073842525,0.565190196037
7144707,6.22509833192e-06,0.00183165469207,0.998162090778
7232703,0.0229894090444,0.243537813425,0.733472764492
7004824,0.000287361443043,0.0138649828732,0.985847651958
7115070,0.091464869678,0.498684704304,0.40985044837
7207655,1.55864963745e-05,0.00062542303931,0.999358952045
6818933,0.25468236208,0.474745512009,0.270572125912
6908358,0.137824356556,0.52528232336,0.336893379688
6832882,0.144146949053,0.527516305447,0.328336745501
6824519,0.00496000051498,0.00213507795706,0.992904961109
6836810,0.0868358910084,0.335441976786,0.577722072601
7110196,0.0906831249595,0.435220003128,0.47409683466
6980352,0.279140770435,0.526505589485,0.194353669882
6927786,0.0147132733837,0.285433471203,0.699853241444
6904345,0.146878272295,0.493652641773,0.359469056129
7194111,0.000650770787615,0.0133996829391,0.985949575901
7075288,0.0422334261239,0.344107627869,0.613658964634
7087877,0.224404856563,0.467034578323,0.308560580015
6816478,0.0741569548845,0.220950827003,0.704892218113
7158681,0.185591235757,0.479119598866,0.335289180279
6908853,0.000440077594249,0.0054789413698,0.994080960751
7146425,0.00154819374438,0.0144467325881,0.984005093575
7140193,0.504159927368,0.351890921593,0.143949180841
6840339,0.165942668915,0.476263076067,0.357794255018
6819149,0.00309486384504,0.276701152325,0.7202039361
7090007,0.0107722384855,0.170392468572,0.818835258484
7154052,0.0179584380239,0.22185203433,0.760189533234
6860167,0.00322218588553,0.0263113025576,0.970466554165
7097506,0.698753893375,0.280247360468,0.0209987703711
6900955,0.1014085114,0.514303803444,0.384287625551
6939257,0.00102695950773,0.0335071533918,0.965465903282
7071697,0.000120737524412,0.0164300370961,0.983449161053
7166991,0.000916897377465,0.0228902306408,0.976192891598
7143024,0.774974584579,0.211464673281,0.0135606871918
7041191,0.00343656493351,0.121754080057,0.874809324741
6897703,0.000229375044,0.00484316051006,0.99492752552
