listing_id,high,low,medium
6811958,0.29892663161,0.0728698422511,0.62820349137
6811960,0.394195834796,0.158700774113,0.44710334142
6811964,0.465029776096,0.0584649803738,0.476505210002
6811971,0.00976220766703,0.327615708113,0.662622094154
6811974,0.14983313779,0.0710348114371,0.779132068157
6811983,0.0145265978451,0.928287982941,0.0571854002774
6811984,0.0621624986331,0.628553708394,0.309283792973
6811985,0.0144154947872,0.771986405055,0.213598092397
6811988,0.358148644368,0.154418955247,0.48743241032
6811990,0.000851980779165,0.990491191546,0.0086568336313
6811992,0.0375560925653,0.882106502851,0.080337403963
6811995,0.00265498505905,0.986939708392,0.0104053259517
6811997,3.19659793604e-05,0.998343527317,0.00162446409619
6812012,0.000173604426285,0.992341260115,0.00748514663428
6812016,3.28356666917e-05,0.999201238155,0.000765935828288
6812032,0.00119051511865,0.981879035632,0.0169304711744
6812035,0.000556132086786,0.994868099689,0.0045757231613
6812041,0.000643405461839,0.995144089063,0.00421248818748
6812045,0.000177024824855,0.948528687159,0.0512942634523
6812049,0.000380635746599,0.996361454328,0.0032578491761
6812050,0.000611150064894,0.996460338434,0.00292848004028
6812051,0.0002231915981,0.998166898886,0.00160987516089
6812052,0.0011709718965,0.994245906671,0.00458309364816
6812063,6.78962035939e-05,0.998205125332,0.00172696673932
6812077,0.00580794985096,0.971347153187,0.0228448590885
6812082,8.8653453228e-05,0.998862266541,0.00104908808134
6812091,0.000548495464803,0.962616801262,0.0368346907198
6812098,0.000344903150108,0.98548879226,0.0141662908718
6812106,0.00340849005928,0.987698018551,0.00889347633347
6812119,0.00833408208564,0.753174126148,0.238491808375
6812126,0.0330078694969,0.73097940286,0.236012727022
6812127,1.83295675621e-05,0.999362627665,0.00061904634155
6812135,1.50070303183e-05,0.99934309721,0.000641893789483
6812140,0.0928003663818,0.280171414216,0.627028226852
6812141,0.000582380171788,0.992714146773,0.00670343901341
6812143,0.000207822413358,0.998089512189,0.0017026901866
6812151,0.0388135469208,0.849128305912,0.112058145305
6812153,2.75160925109e-05,0.999276061853,0.000696402528168
6812157,0.00242210839254,0.930995225906,0.0665826424956
6812158,0.000242118398698,0.996377329032,0.00338052135582
6812174,1.82900312211e-05,0.998985668023,0.000996035329687
6812177,0.00012153753778,0.998445371787,0.00143306298802
6812178,0.00357616785914,0.98397209247,0.0124517402922
6812181,0.000576835513736,0.990795910358,0.00862727810939
6812186,5.61475486999e-05,0.998667816321,0.00127602640229
6812187,0.000247006231803,0.997622966766,0.00212999479845
6812190,0.041410803174,0.789904574553,0.168684666355
6812195,0.000714271251733,0.942341526349,0.0569442051152
6812210,0.00879417763402,0.819980621338,0.17122519513
6812215,0.030791413039,0.75489962101,0.214308937391
6812216,0.000669005346329,0.994231422742,0.00509955345963
6812239,9.82241196349e-06,0.999580363433,0.000409833941376
6812243,0.00485127264013,0.893774747849,0.101373995344
6812257,0.000795776373707,0.989469369253,0.00973485875875
6812259,0.00130350208686,0.959977368514,0.0387191387514
6812263,0.000377060108197,0.997920095921,0.00170283108794
6812264,5.19319401064e-05,0.998459498088,0.00148861052003
